date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECIPITATION,WS2M,WS2M_MAX,WS2M_MIN,WD2M,GWETTOP,GWETROOT,GWETPROF
2014-04-18,31.11,36.53,26.83,52.7,1.41,1.42,2.06,0.91,221.3,0.27,0.22,0.22
2014-04-19,31.51,38.67,25.56,50.7,2.2,0.9,2.11,0.09,229.9,0.27,0.22,0.22
2014-04-20,31.35,38.27,25.15,53.09,5.85,0.99,1.8,0.42,209.2,0.32,0.22,0.22
2014-04-21,31.77,39.3,25.33,44.08,2.43,1.16,1.89,0.55,5.0,0.3,0.23,0.23
2014-04-22,32.15,40.08,25.13,36.05,1.52,0.83,1.64,0.13,53.0,0.26,0.23,0.23
2014-04-23,31.54,40.01,22.44,26.01,1.76,0.85,1.57,0.18,59.9,0.24,0.23,0.23
2014-04-24,31.95,39.63,26.11,45.47,3.81,1.23,2.3,0.48,121.0,0.27,0.23,0.23
2014-04-25,32.06,38.9,25.36,49.76,4.2,0.91,1.59,0.29,207.9,0.33,0.23,0.23
2014-04-26,32.21,39.16,26.58,48.02,1.06,1.75,2.42,0.86,241.4,0.28,0.23,0.23
2014-04-27,31.37,38.42,26.06,50.66,0.62,1.03,1.92,0.15,234.3,0.25,0.23,0.23
2014-04-28,30.56,37.29,25.69,50.61,1.24,1.36,2.33,0.78,190.4,0.25,0.23,0.23
2014-04-29,31.23,38.76,24.4,48.1,0.84,0.86,1.33,0.23,194.4,0.25,0.23,0.23
2014-04-30,31.86,39.35,25.45,46.96,1.4,1.06,1.76,0.36,224.4,0.24,0.23,0.23
2014-05-01,30.97,36.71,25.6,50.69,0.67,1.58,2.1,0.86,263.1,0.24,0.23,0.23
2014-05-02,32.7,39.99,25.74,43.57,2.61,0.96,1.59,0.16,209.2,0.25,0.23,0.23
2014-05-03,30.27,35.13,26.53,56.49,7.66,1.2,1.81,0.56,203.7,0.34,0.23,0.23
2014-05-04,28.93,33.16,25.2,62.91,5.64,0.75,1.57,0.06,114.5,0.38,0.24,0.24
2014-05-05,29.77,37.34,24.2,53.03,3.69,1.0,2.12,0.08,112.0,0.33,0.25,0.24
2014-05-06,31.01,38.45,23.28,47.07,0.89,0.97,1.69,0.45,113.0,0.3,0.24,0.24
2014-05-07,30.77,35.5,26.85,50.96,0.18,0.96,1.39,0.34,180.6,0.24,0.24,0.24
2014-05-08,31.13,38.47,24.64,47.4,0.24,1.09,1.46,0.41,280.3,0.23,0.24,0.24
2014-05-09,30.4,36.34,25.09,44.92,0.25,1.0,1.53,0.51,22.9,0.22,0.24,0.24
